,laser power,trial number,direction,trap,Bead diameter (um),Viscosity (Pa*s),Temperature,Rf (pN/V),fc (Hz),err_fc (Hz),D (V^2/s),err_D (V^2/s),beta (um/V),beta err (um/V),kappa (pN/nm),kappa err (pN/nm),stationary std (m),equipartition std (m),std rel err,autocorr kappa (pN/nm),autocorr beta (um/V),stationary std (nm),equipartition std (nm)
0,10,1,x,1,2.14,0.00089,25,290.8705082589604,2215.334405252604,15.318681010151158,0.1692123066284555,0.0014579985932749305,1.1641410983787093,0.0050159821610605525,0.24985846532181846,0.001727731090563919,3.739186883778069e-09,4.059450144606475e-09,0.07889326125951299,0.25661379905010756,1.155024894948851,3.7391868837780686,4.059450144606475
1,10,2,x,1,2.14,0.00089,25,285.1078656882917,2146.4313926324903,14.848911954595536,0.1653363574792266,0.0014355566921030506,1.1777074212499665,0.005113456863179336,0.242087177633381,0.0016747477689495805,3.799423559897473e-09,4.124092071884493e-09,0.07872484569401561,0.2361239998475748,1.22909874064492,3.7994235598974733,4.124092071884493
2,15,1,x,1,2.14,0.00089,25,293.8953599916007,3612.579225745495,33.00276026482746,0.44075986545942764,0.0063099231820305845,0.7213077086870627,0.005163780892000041,0.40744796770098896,0.00372224573030699,2.7864689389281336e-09,3.178909528899348e-09,0.12345132392210337,0.3906545699380522,0.7741170668263266,2.7864689389281336,3.178909528899348
3,15,2,x,1,2.14,0.00089,25,296.26752948812367,3688.149576250755,37.92788099189161,0.4520658287537133,0.0074690397095563,0.7122308061485728,0.005884492919669472,0.4159712370350935,0.004277729861041921,2.738506696550672e-09,3.146172968043569e-09,0.1295752889728762,0.5540251287429951,0.48022068201410484,2.738506696550672,3.146172968043569
4,20,1,x,1,2.14,0.00089,25,300.872496843815,5526.001940839103,104.76718976449935,0.9840333705431578,0.03380146799860708,0.48274377388223905,0.008292158965027815,0.6232550539682571,0.01181626087175435,2.1067547595718787e-09,2.5702853549103956e-09,0.1803420754248029,,,2.1067547595718787,2.5702853549103954
5,20,2,x,1,2.14,0.00089,25,299.76568682509884,5803.794607019787,160.25063981100405,1.0934853563154743,0.056535728316857096,0.4579468844741756,0.011839962609570561,0.6545861474072396,0.018074011235089997,2.002203041626413e-09,2.5080191079300096e-09,0.2016795106162772,,,2.002203041626413,2.50801910793001
6,10,1,x,1,4.5,0.00089,25,219.73015225224273,256.3708925175182,5.733486101541374,0.008350444584158807,6.579726334457182e-05,3.6138275559615822,0.014239372781756793,0.06080261131712358,0.0013597913690624184,8.46716012100751e-09,8.229114978031045e-09,0.0289271864121433,0.0527370836886312,3.771278195838097,8.46716012100751,8.229114978031046
7,10,2,x,1,4.5,0.00089,25,234.20355965418577,275.69804059603723,3.3363013779748063,0.008500253090433233,4.1449412137524245e-05,3.581840938235839,0.008734097120771781,0.06538636519396583,0.0007912592335649978,7.490000143322537e-09,7.935433348446412e-09,0.05613218403643721,0.0706678263883863,3.6345104915355297,7.490000143322537,7.935433348446412
8,20,1,x,1,4.5,0.00089,25,200.37991589549958,502.0122623103586,4.133545085584597,0.038500977143753494,0.00023464280245860122,1.6830086508540096,0.005129169317578505,0.11906053827698435,0.0009803388080939519,6.6023907275878935e-09,5.8807176107553555e-09,0.12271854637479214,0.07263182770595579,1.921831056302213,6.602390727587894,5.880717610755355
9,20,2,x,1,4.5,0.00089,25,266.32568785344137,661.140771755007,5.109587334356799,0.03780186675632605,0.0002090570318754716,1.698500193855563,0.004697235518919368,0.15680050483178756,0.0012118234235993265,4.897914355928425e-09,5.1243704463596665e-09,0.04419198276192442,0.16074507243829764,1.7180690524400968,4.8979143559284255,5.124370446359666
10,30,1,x,1,4.5,0.00089,25,247.31441748311283,982.5571860378834,7.310624850525,0.096820714627324,0.000664918431765492,1.0612997999203633,0.003644713309716099,0.2330297409852245,0.0017338359940428979,4.319273807897122e-09,4.2034759784754486e-09,0.027548112565561108,0.16852714235501493,1.2025700664260919,4.3192738078971225,4.203475978475448
11,30,2,x,1,4.5,0.00089,25,284.59833966400913,1220.1039240264563,11.998383548394042,0.1127406162733511,0.001370030704273311,0.9835173418846258,0.005976640318429634,0.28936789169234056,0.002845615756776767,3.4570271671098214e-09,3.772151058904037e-09,0.08353957380640309,0.26788550015898266,1.0678155293935752,3.4570271671098216,3.772151058904037
12,10,1,y,1,2.14,0.00089,25,306.8328139079066,2207.598979731811,14.880458192335976,0.15100436590912633,0.0012629809803370758,1.2323294930591417,0.005154177267793328,0.24898601846022778,0.0016783057394888432,3.7482493916324775e-09,4.066556080705138e-09,0.07827426519037857,0.24162928515739387,1.2881033870935052,3.7482493916324775,4.066556080705138
13,10,2,y,1,2.14,0.00089,25,296.8925043055228,2021.9391258374756,12.597614290100097,0.1352977040578867,0.000982546392850257,1.3018962649417145,0.004727855799867764,0.22804620636868836,0.0014208331553816642,3.932479987630497e-09,4.249157413051104e-09,0.07452711082153511,0.21761472641477875,1.3959581567435582,3.9324799876304968,4.249157413051104
14,15,1,y,1,2.14,0.00089,25,292.541564850389,3101.8904587952693,20.001338375600653,0.327967261851309,0.0029018687717811435,0.8361926531314297,0.003699804912189664,0.34984947996715826,0.002255868774962727,3.0710626961303494e-09,3.4306280148356873e-09,0.10481034876133594,0.2888625231695423,1.0819569432888976,3.0710626961303493,3.4306280148356874
15,15,2,y,1,2.14,0.00089,25,312.713598433645,3489.2027468252863,28.70583393957629,0.3631713812219616,0.004506130702126608,0.7946315158579595,0.0049304113512430876,0.3935328415662066,0.00323761306506124,2.863432087199476e-09,3.2346236337972417e-09,0.11475571461215422,0.3932970991515181,0.8157274582445222,2.863432087199476,3.234623633797242
16,20,1,y,1,2.14,0.00089,25,320.13697911428915,5633.544490249996,115.16359156488197,0.9033260038470555,0.03373087758148312,0.5038477671688812,0.009408224427274826,0.6353843362512801,0.012988828314644036,2.073811844972598e-09,2.5456341826075496e-09,0.18534569533146877,,,2.073811844972598,2.5456341826075497
17,20,2,y,1,2.14,0.00089,25,314.06220294448616,4966.517016523971,62.920052684005,0.7294999236694276,0.0158638053649511,0.560672130571159,0.0060970013810698696,0.5601530481362604,0.007096494219707138,2.293092751636695e-09,2.711195870487799e-09,0.1542135422240366,0.398554176799287,0.8904632441713756,2.2930927516366952,2.711195870487799
18,10,1,y,1,4.5,0.00089,25,205.00344174926207,224.61314288100627,5.519342141318563,0.007363757966779832,5.078578031834138e-05,3.848331462998282,0.013272119943833365,0.05327073401040704,0.0013090035754424877,8.383540046193989e-09,8.791640189909291e-09,0.04641911348734497,0.056463314389902895,3.916084418552206,8.383540046193989,8.791640189909291
19,10,2,y,1,4.5,0.00089,25,168.21860031549875,181.6900941989869,2.903849973049889,0.00715592781456659,2.89249405587378e-05,3.903815182574142,0.007890798897650287,0.04309082076077609,0.0006886962068930169,8.480057826397005e-09,9.775114721091053e-09,0.13248508397551567,0.05759861374139223,3.8864238032284124,8.480057826397005,9.775114721091052
20,20,1,y,1,4.5,0.00089,25,115.17248550124911,251.0500662419259,2.7529953900181963,0.029145712921981693,0.00010634110417342861,1.9343492205698314,0.0035292836779165526,0.05954068907336234,0.0006529185392825803,7.474619604677353e-09,8.315862846147893e-09,0.10116126937569973,0.06466961972426312,2.0703831033855407,7.474619604677352,8.315862846147892
21,20,2,y,1,4.5,0.00089,25,252.26059790941747,579.3589003563682,4.335606049674005,0.032355491820835316,0.00014731607338259583,1.835896616318769,0.0041799929805231345,0.13740457696100308,0.0010282609186785302,5.199224686335169e-09,5.474111592197706e-09,0.05021580236952705,0.14641919039895465,1.842675631516572,5.199224686335168,5.474111592197706
22,30,1,y,1,4.5,0.00089,25,258.0351725181061,919.233135341939,6.267136659716783,0.07784756022102687,0.0004237516125964976,1.1835857321472174,0.003221745876163301,0.21801139157869726,0.0014863554542020301,4.306603791858295e-09,4.345849202826238e-09,0.009030550563609286,0.18725649865679908,1.2704454156741871,4.3066037918582944,4.345849202826239
23,30,2,y,1,4.5,0.00089,25,257.4517556501683,937.7435045717647,6.618746421159063,0.08138191304714205,0.0004615374585852669,1.1575993572120553,0.003282936926811534,0.22240143279814117,0.0015697455436554208,4.020494028925541e-09,4.302743485342497e-09,0.06559755592645769,0.23729066419127748,1.1624025655642796,4.02049402892554,4.302743485342496
24,10,1,x,2,2.14,0.00089,25,549.6300865652306,1429.5114813109744,9.141213607101935,0.01973272395137981,0.00012511490870311008,3.4090084228416324,0.010808745706749088,0.16122872647732497,0.0010309999238191669,4.805784827837266e-09,5.05350889360041e-09,0.049020209715442256,0.16079603892616315,3.455489738845865,4.8057848278372655,5.0535088936004104
25,10,2,x,2,2.14,0.00089,25,564.661860803291,2022.481227143358,13.970816420276046,0.037423536770246346,0.0003180308950014464,2.4754216222268846,0.01051959124600552,0.22810734774762223,0.0015757109815052973,3.932141340748845e-09,4.248587907602358e-09,0.07448276315226256,0.22355497800492652,2.566357159531166,3.932141340748845,4.248587907602358
26,15,1,x,2,2.14,0.00089,25,554.2411205679816,2381.424461036313,15.02455003020441,0.053855352494824815,0.0004323103213511102,2.063512756886285,0.008283218010920183,0.2685910802917922,0.0016945572658452453,3.775558702893331e-09,3.9153307310761435e-09,0.0356986517316242,0.1641077786873428,2.880042458085467,3.775558702893331,3.9153307310761436
27,15,2,x,2,2.14,0.00089,25,584.4995842626455,3379.83243764106,30.73064848350883,0.09753818428946676,0.0013693372454351702,1.533325156865168,0.010764533596847254,0.3811974137681503,0.0034659835780225076,2.9079973341144305e-09,3.2865426561530704e-09,0.11518040738948779,0.4129491589930741,1.3931913354864658,2.9079973341144303,3.2865426561530704
28,20,1,x,2,2.14,0.00089,25,568.9365941910803,3341.563214714938,29.905878986507048,0.10062928015582642,0.0013649766036598775,1.509591394588842,0.010239658083467593,0.3768811853528339,0.00337296121522414,2.931910845269798e-09,3.30530863005962e-09,0.11296911319990303,0.41233939208772524,1.3751112034304707,2.9319108452697984,3.3053086300596197
29,20,2,x,2,2.14,0.00089,25,587.5232265377069,4861.926274732701,69.60480904973795,0.1997649992687122,0.0049830595383378905,1.0714252953976529,0.013364840371372698,0.5483566881064268,0.007850440424231435,2.3118416471283733e-09,2.7402025979860577e-09,0.15632455467800557,0.5119235353544278,1.1923204243618817,2.3118416471283734,2.7402025979860576
30,10,1,x,2,4.5,0.00089,25,495.44078300699437,281.5631571603824,5.859798711517924,0.0019811603459610493,1.68330188259089e-05,7.419291094677007,0.03152317809175882,0.06677737491152623,0.0013897485005192618,7.517166531399969e-09,7.852348659782513e-09,0.04268558910269128,0.06787492685865892,7.665296368136345,7.517166531399969,7.852348659782513
31,10,2,x,2,4.5,0.00089,25,447.7347268914282,255.6709322043985,3.2971368687373865,0.0020001963502813227,1.0598709772523947e-05,7.383901744405709,0.01956552387099523,0.060636604113895064,0.0007819707203129483,7.821284129537335e-09,8.240371863695085e-09,0.050857866743143076,0.06333151397079125,7.594352488447761,7.821284129537335,8.240371863695085
32,20,1,x,2,4.5,0.00089,25,440.00906806322035,523.3739378687957,4.316056404476186,0.008678654758801198,5.5906859011900155e-05,3.544834943455083,0.011419153248131897,0.12412681410614619,0.0010236243959177828,5.3075877574245205e-09,5.759455694662813e-09,0.07845670861866877,0.12805939362233232,3.7431837511734845,5.30758775742452,5.7594556946628135
33,20,2,x,2,4.5,0.00089,25,513.9702802783501,607.8815100556387,4.899108556877316,0.008580514585442673,4.878606465284837e-05,3.565049442562483,0.010136154291790343,0.14416918714847302,0.0011619048888861323,5.131356043842589e-09,5.344142392402486e-09,0.03981674381700711,0.144686279013634,3.6423216643396965,5.131356043842589,5.344142392402486
34,30,1,x,2,4.5,0.00089,25,533.1213032193482,1007.6983328274596,7.718249502542823,0.021915959386532506,0.00016143008909195056,2.2307041784893493,0.008216581787779668,0.23899238113248264,0.001830510944293827,4.080429239526054e-09,4.150708343411064e-09,0.016931833814961356,0.2008381748554061,2.42487165530358,4.080429239526054,4.150708343411064
35,30,2,x,2,4.5,0.00089,25,550.4674215982602,1091.4068572375388,10.904877133483263,0.02411357458789391,0.0002887501911171803,2.126627506361298,0.012734365614753676,0.25884524673534437,0.002586272565099661,3.6986609555290824e-09,3.988358135728126e-09,0.07263569878640186,0.23465785019351929,2.325331339329768,3.6986609555290824,3.988358135728126
36,10,1,y,2,2.14,0.00089,25,455.72912057565884,1435.62732803443,8.96498328905762,0.02894826991062288,0.00017905705667918277,2.814558551995606,0.008705712447239758,0.16191850770080207,0.0010111236303325824,4.772888337781473e-09,5.042733300481374e-09,0.05351164668457521,0.16050487950616665,2.890143502403927,4.772888337781473,5.042733300481374
37,10,2,y,2,2.14,0.00089,25,488.5494476488245,1867.5446403164315,11.52143106370582,0.04262630327923823,0.00029358052445548326,2.31943795271907,0.00798835824405007,0.2106326867145118,0.0012994548710403002,4.111190875711407e-09,4.4213140305259635e-09,0.07014275680790395,0.2091923922069048,2.4066007238646483,4.111190875711407,4.421314030525964
38,15,1,y,2,2.14,0.00089,25,428.22874518664497,2092.036043442971,12.083794552117357,0.06962086794855513,0.0004687138300826691,1.8148965616131685,0.006110059157603759,0.23595214969497455,0.0013628815382894415,3.835799922053903e-09,4.177363588215016e-09,0.08176536682722979,0.2132530657013167,2.0815460364933087,3.8357999220539027,4.177363588215017
39,15,2,y,2,2.14,0.00089,25,520.3829804678802,3230.884186217925,25.652326430543567,0.11244738323301098,0.001315264419888019,1.428061522610121,0.008352872235267605,0.36439815248068375,0.0028932204992045425,3.000563490266424e-09,3.3614461858318832e-09,0.1073593553532224,0.3922256900959666,1.3321640253563052,3.000563490266424,3.361446185831883
40,20,1,y,2,2.14,0.00089,25,475.46113578458585,3338.7269513273322,28.53333488636054,0.14384159806215127,0.0018382860563281168,1.2626394222561568,0.00806924943924616,0.37656129485883194,0.0032181576056038493,2.9407872063994535e-09,3.306712269211041e-09,0.11066129527468523,0.39737728595126026,1.207332602807854,2.9407872063994533,3.306712269211041
41,20,2,y,2,2.14,0.00089,25,517.6150284422354,4545.653093124476,52.44496759913818,0.22497360320447682,0.004347325136581243,1.0096150420919792,0.00975599508692157,0.5126855354390402,0.005915052412450117,2.4283827776040633e-09,2.833927357838635e-09,0.1431033788190924,0.39289736507982187,1.459310344541858,2.4283827776040634,2.8339273578386353
42,10,1,y,2,4.5,0.00089,25,339.7437994575554,218.24558242394153,5.598850395831411,0.002531274976414241,1.8556599783629233e-05,6.563758011090069,0.02406228348794036,0.05176056138625574,0.001327860277340958,8.040206325551478e-09,8.918971109357065e-09,0.0985275961801982,0.0627722475525467,6.595379318915975,8.040206325551477,8.918971109357065
43,10,2,y,2,4.5,0.00089,25,258.8904369897225,167.01625814719975,2.9467414728941344,0.0025529185717962466,1.083141106361266e-05,6.535875079400573,0.013866824546364908,0.03961067704700779,0.0006988686378122561,8.775947775196594e-09,1.019549024151923e-08,0.1392323892912784,0.053815880447865394,6.50941971508293,8.775947775196594,10.195490241519229
44,20,1,y,2,4.5,0.00089,25,203.875391760561,259.40469369933294,2.7779265084920346,0.009930646525385261,3.6582648469872583e-05,3.313854700449275,0.006104586961717538,0.061522127609554104,0.000658831367729602,6.557326845671199e-09,8.180852699546933e-09,0.19845435598243294,0.09127290544560972,3.385288336605349,6.557326845671199,8.180852699546934
45,20,2,y,2,4.5,0.00089,25,393.4761185648171,522.5460403822989,4.155264818139361,0.010818420201825472,4.8694018533415964e-05,3.174974936292295,0.007146234680908605,0.12393046447929278,0.0009854900030813042,5.717830785223753e-09,5.764016394941728e-09,0.008012747805246741,0.11925168083598103,3.2306513083208372,5.717830785223753,5.764016394941728
46,30,1,y,2,4.5,0.00089,25,443.2118504219307,931.7147208690347,6.4871977610897975,0.027107824653882655,0.0001534868569159303,2.005741176593411,0.005679062099897184,0.22097160670285992,0.001538546596033341,4.081728433473375e-09,4.316641775174668e-09,0.05442039296665692,0.2325692795078001,2.0027248813389518,4.0817284334733746,4.316641775174667
47,30,2,y,2,4.5,0.00089,25,418.1377575891325,856.9200723007453,6.265567697054802,0.02576281653220832,0.00014461289118244866,2.0574323013086953,0.005775165365820895,0.20323281467057877,0.0014859833486717542,4.2320922286118175e-09,4.501086199885688e-09,0.05976201284052327,0.2194994977807849,2.0446376668390105,4.232092228611817,4.501086199885688
